[H[2J[3J----------------  -------  -----------  ------------  -------------  --------------
Fitness type      Mu Size  Lambda Size  Mutation STD  Mutation Rate  Crossover Rate
himmelblau_task3  100      100          1             0.01           0.6
----------------  -------  -----------  ------------  -------------  --------------
########################################################################################
Generation 	 Candidate Evals 	 Best Fit 	 Average Fit 	 % same 	
206 		 41300 			 3.0479 	 57.1324 	 54.0000 %
207 		 41500 			 2.6071 	 61.5993 	 47.0000 %
208 		 41700 			 2.6071 	 58.8894 	 30.0000 %
209 		 41900 			 6.0105 	 60.9739 	 46.0000 %
210 		 42100 			 6.0105 	 62.8373 	 36.0000 %
211 		 42300 			 4.1355 	 65.1195 	 30.0000 %
212 		 42500 			 1.4972 	 61.5972 	 51.0000 %
213 		 42700 			 3.9644 	 60.6434 	 42.0000 %
214 		 42900 			 5.7485 	 68.3758 	 48.0000 %
215 		 43100 			 0.1616 	 58.0609 	 47.0000 %
216 		 43300 			 2.4722 	 61.1076 	 50.0000 %
217 		 43500 			 0.4291 	 56.1016 	 40.0000 %
218 		 43700 			 0.2646 	 59.4396 	 44.0000 %
219 		 43900 			 2.4722 	 66.9634 	 45.0000 %
220 		 44100 			 2.1115 	 67.9334 	 42.0000 %
221 		 44300 			 2.0785 	 64.7503 	 42.0000 %
222 		 44500 			 1.3982 	 59.6836 	 43.0000 %
223 		 44700 			 0.6965 	 48.9148 	 35.0000 %
224 		 44900 			 1.2695 	 46.0500 	 50.0000 %
225 		 45100 			 0.4038 	 56.0157 	 49.0000 %
226 		 45300 			 0.2492 	 57.0249 	 43.0000 %
227 		 45500 			 0.9712 	 63.6006 	 42.0000 %
228 		 45700 			 2.6023 	 66.1424 	 36.0000 %
229 		 45900 			 0.7113 	 66.9128 	 34.0000 %
230 		 46100 			 0.4405 	 54.7917 	 40.0000 %
231 		 46300 			 0.7113 	 53.4496 	 43.0000 %
232 		 46500 			 0.6863 	 58.4877 	 36.0000 %
233 		 46700 			 0.2067 	 60.0725 	 36.0000 %
